"ID","Type","SKU","Name","Published","isFeatured","Visibilityincatalogue","Shortdescription","Description","Datesalepriceends","Taxstatus","Taxclass","Instock","Stock","LowStockAmount","BackordersAllowed","SoldIndividuall","WeightKG","LengthCM","WidthCM","HeightCM","AllowCustomerReviews","PurchaseNote","SalePrice","RegularPrice","Categories","Tags","ShippingClass","Position","price","shortDescription","imageUrl","attribute1Name"
,,,"Water Base Pavement Signs",1,0,"visible","Heavy-duty sand or water filled forecourt pavement sign for outdoor advertising!","Product Specifications
32mm extruded aluminium profile
Available with silver anodised finish
2 way display for maximum impact
Designed to withstand high winds
Heavy duty water or sand fill base
Spring-loaded forecourt sign board
Snap open, snap shut mechanism
Includes wheels for transportation
1-2mm thick clear protective cover
FREE NATIONWIDE UK DELIVERY

",,,,1,,,0,,,,,,,,,,,,,0,"£104.00","","https://cheapasprints-woocart.b-cdn.net/wp-content/uploads/waterbase-pavement-signs-600x551.jpg",
,,,"Panel Pavement Signs",1,0,"visible","Increase footfall and attract trade with this double sided aluminium panel pavement sign!","Product Specifications
Solid rubber base for extra stability
Robust aluminium graphics panel
2 way graphics for greater impact
Vibrant print fills the entire panel
Long-lasting powder-coated finish
Quick assembly, no tools required
Extremely stable in high winds
FREE NATIONWIDE UK DELIVERY

",,,,1,,,0,,,,,,,,,,,,,0,"£55.00","","https://cheapasprints-woocart.b-cdn.net/wp-content/uploads/panel-pavement-signs-600x551.jpg",
,,,"Swinging Pavement Signs",1,0,"visible","Solid base double sided swinger pavement sign that is built to last!","Product Specifications
Heavy-duty outdoor pavement sign
Solid rubber base for extra stability
Robust aluminium graphics panel
Tamper proof supporting brackets
2 way graphics for greater impact
Vibrant print fills the entire panel
Long-lasting powder-coated finish
Easy assembly, set up in minutes
Extremely stable in high winds
FREE NATIONWIDE UK DELIVERY

",,,,1,,,0,,,,,,,,,,,,,0,"£78.00","","https://cheapasprints-woocart.b-cdn.net/wp-content/uploads/swinging-pavement-signs-600x551.jpg",
,,,"Rounded Pavement Signs",1,0,"visible","Increase your footfall with this double sided rounded pavement sign with magnetic covers.","Product Specifications
A-board with branded header panel
Durable powder coated steel frame
Easy remove magnetic poster cover
Locking leg stays for better balance
Foldaway design for easy storage
Highly stable in windy conditions
FREE NATIONWIDE UK DELIVERY

",,,,1,,,0,,,,,,,,,,,,,0,"£89.00","","https://cheapasprints-woocart.b-cdn.net/wp-content/uploads/2018/06/outdoor-rounded-logo-pavement-sign-600x551.png",
,,,"Chalkboard Pavement Signs",1,0,"visible","Create and update your own personalised messages on the fly to attract more passing trade!","Product Specifications
Classic wooden pavement sign
Hard-wearing MDF back panel
Protective stain looking finish
Locking leg for extra stability
Easy write and wipe surface
FREE NATIONWIDE UK DELIVERY

",,,,1,,,0,,,,,,,,,,,,,0,"£97.00","","https://cheapasprints-woocart.b-cdn.net/wp-content/uploads/chalkboard-pavement-signs-600x551.jpg",
,,,"Snap Frame A-Boards",1,0,"visible","Modern and compact double sided A-board pavement sign for outdoor advertising.","Product Specifications
30mm extruded aluminium profile
2 way display for maximum impact
Buy from 17 frame colour options
Easy snap open and close system
Strong galvanised steel back panel
Locking leg stays for better balance
Hinged mechanism for easy storage
Nylon material fibre reinforcements
1-2mm thick clear protective cover
FREE NATIONWIDE UK DELIVERY

",,,,1,,,0,,,,,,,,,,,,,0,"£52.00","","https://cheapasprints-woocart.b-cdn.net/wp-content/uploads/2016/07/outdoor-snap-frame-a-board-pavement-sign-600x551.png",